Name,Cinsiyet,Doğum Yılı,Eğitim Durumu,Sınıf (üni),Kayıtlı olduğun üniversite,Kayıtlı olduğun bölüm,Mezun olduğun üniversite,Mezun olduğun bölüm
rec1b6SNX1EJBmwj7,Kadın,2003,Lisans,3,Piri Reis Üniversitesi (İstanbul),Endüstri Mühendisliği (İngilizce),,
recotHmJqE9otCIF3,Kadın,2003,Lisans,Hazırlık,Hacettepe Üniversitesi (Ankara),İşletme (İngilizce),,
reckBOvrcMs11P3Zb,Erkek,2009,Lise,,,,,
recSn0r6eOxWGFKEb,Erkek,1987,Lisansüstü Mezunu,,,,Çanakkale Onsekiz Mart Üniversitesi,Türk Dili ve Edebiyatı
recetcR9npTJ5v5Kg,Kadın,2000,Lisans,4,Yalova Üniversitesi,Uluslararası İlişkiler (İngilizce),,
rec0XwINOEmWPAX6c,Kadın,2010,Lise,,,,,
rec4qUKEMmODuFdxI,Erkek,2005,Lisans,2,Mef Üniversitesi (İstanbul),Endüstri Mühendisliği (İngilizce),,
recd8H0ZZfNamrKaI,Kadın,2005,Ön Lisans,1,Kocaeli Sağlık Ve Teknoloji Üniversitesi,Bilgisayar Bilimleri,,
recPXRR5vJUf0I6TW,Kadın,2001,Lisans Mezunu,,,,Yıldız Teknik Üniversitesi,Matematik
recXsouVp18f6RWe7,Kadın,2002,Lisans,3,Çukurova Üniversitesi (Adana),Bilgisayar Mühendisliği (İngilizce) (İÖ),,
rec4mWKo4JxyFoVzY,Erkek,2004,Lisans,1,Düzce Üniversitesi,Bilgisayar Mühendisliği,,
rectddZNoPqVpLgiU,Kadın,2008,Lise,,,,,
rec4sNFnHj7t0uD5r,Kadın,2002,Lisans,3,Muğla Sıtkı Koçman Üniversitesi,Yönetim Bilişim Sistemleri,,
rec6J0JbQ57jfZ5Ve,Erkek,2006,Lise Mezunu,,,,,
reckW1O4N0tJXCZqS,Kadın,2003,Lisans,2,Selçuk Üniversitesi (Konya),Uluslararası İlişkiler,,
recHMh6EYIoLtuVcT,Erkek,1999,Lisansüstü,,,,Burdur Mehmet Akif Ersoy Üniversitesi,Matematik
recwJH16qrD2XXmFs,Erkek,2004,Ön Lisans,1,Marmara Üniversitesi (İstanbul),Bilgisayar Bilimleri,,
recw2gQSvgjZsQmpU,Kadın,2003,Lisans,3,İstinye Üniversitesi (İstanbul),Endüstri Mühendisliği (İngilizce),,
recq7iTMDZquZNnQ5,Kadın,2005,Ön Lisans,1,Ostim Teknik Üniversitesi (Ankara),Bilgisayar Bilimleri,,
rec6a1OqfTl2Se7Qy,Erkek,2002,Lisans,1,Boğaziçi Üniversitesi (İstanbul),Fizik (İngilizce),,
recq4KjKxXUWiRieF,Kadın,2000,Lisans Mezunu,,,,İstanbul Medipol Üniversitesi,Yönetim Bilişim Sistemleri
rec57y4O1n9xqqzyt,Erkek,2000,Lisans Mezunu,,,,Boğaziçi Üniversitesi (İstanbul),Ekonomi (İngilizce)
rechblzxjKxWP3ZSa,Kadın,2003,Lisans,1,İzmir Demokrasi Üniversitesi,Tıp (İngilizce),,
recmlUSm2yZ8VoMAG,Belirtmek istemiyorum.,1999,Ön Lisans,2,Kastamonu Üniversitesi,Diğer,,
